bedroom,bathrooms,furnishing,avalable_for,floor_number,facing,floor_type,parking,aggDur,noticeDur,powerbackup,prUnfurnishedertyage,no_room,pooja_room,study_room,servant_room,store_room,deposit_amt,rent,area,loc,fur_cat,loc_cat,gc_ct,p_age
1,1,Furnished,Bachelors (Men Only),3,East,Others,0,11,1,0,5 to 10 Year Old,0,0,1,0,0,25000,12500.0,350.0, Magarpatta,0,448,1,3
2,2,Furnished,Family Only,2,East,Others,1,0,0,1,5 to 10 Year Old,1,0,0,0,0,0,22000.0,800.0, Pimple Saudagar,0,637,1,3
4,4,Furnished,Family Only,8,No Direction,Not provided,0,0,0,0,10+ Year Old,1,0,0,0,0,150000,52000.0,508.0, Pimple Saudagar,0,637,0,2
2,2,Unfurnished,All,1,No Direction,Not provided,1,11,2,2,0 to 1 Year Old,1,0,0,0,0,100000,25500.0,743.0, Baner,2,71,0,0
1,1,Unfurnished,All,2,East,Vitrified,0,11,0,0,1 to 5 Year Old,1,0,0,0,0,0,9000.0,700.0, Baner,2,71,0,1
1,2,Furnished,All,7,No Direction,Not provided,1,0,0,0,1 to 5 Year Old,1,0,0,0,0,40000,16000.0,355.0, Pimple Saudagar,0,637,0,1
3,3,Semifurnished,All,4,North-East,Vitrified,1,11,1,2,5 to 10 Year Old,1,0,0,0,0,100000,30000.0,1200.0, Pimple Saudagar,1,637,0,3
2,2,Furnished,All,6,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,30000,15000.0,0.0, Mallik Nagar,0,463,0,3
2,2,Semifurnished,Family Only,1,East,Vitrified,1,11,1,2,0 to 1 Year Old,1,0,0,0,0,3,22000.0,0.0, Mallik Nagar,1,463,1,0
1,1,Furnished,All,1,East,Not provided,1,0,1,0,5 to 10 Year Old,1,0,0,0,0,20000,10500.0,610.0, Kad Nagar,0,318,1,3
1,1,Semifurnished,All,4,West,Others,1,11,3,1,10+ Year Old,1,0,0,0,0,0,14000.0,550.0, Kad Nagar,1,318,1,2
1,1,Furnished,All,1,North-East,Vitrified,1,0,0,2,1 to 5 Year Old,1,0,0,0,0,30000,11000.0,640.0, Wagholi,0,963,1,1
2,1,Semifurnished,Family Only,0,No Direction,Ceramic,1,0,1,0,10+ Year Old,1,0,0,0,0,35000,14200.0,770.0, Wagholi,1,963,1,2
2,2,Unfurnished,All,9,No Direction,Not provided,1,12,1,2,1 to 5 Year Old,1,0,0,0,0,40000,18000.0,790.0, Hinjewadi,2,276,1,1
2,2,Semifurnished,All,2,East,Not provided,1,0,1,2,5 to 10 Year Old,1,0,0,0,0,30000,16000.0,750.0, Hinjewadi,1,276,1,3
3,2,Semifurnished,All,1,No Direction,Not provided,1,0,0,0,10+ Year Old,1,0,0,0,0,2,30000.0,1130.0, Pune,1,663,0,2
3,3,Semifurnished,All,4,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,60000,21000.0,322.0, Pune,1,663,0,3
2,2,Unfurnished,Family Only,5,East,Marble,1,11,1,2,1 to 5 Year Old,1,0,0,0,0,0,11500.0,750.0, Moshi,2,516,1,1
